Router,Layer_Type,E0_mean,E1_mean,E2_mean,E3_mean,E4_mean,E5_mean,E6_mean,E7_mean,E8_mean,E9_mean,E10_mean,E11_mean,E12_mean,E13_mean,E14_mean,E15_mean,E0_std,E1_std,E2_std,E3_std,E4_std,E5_std,E6_std,E7_std,E8_std,E9_std,E10_std,E11_std,E12_std,E13_std,E14_std,E15_std
convnext.stage_0,CNN,0.479392,0.477304,0.483781,0.486317,0.501619,0.482567,0.497152,0.488955,0.484235,0.493329,0.495044,0.486037,0.488497,0.494589,0.498930,0.483297,0.001185,0.002160,0.001993,0.000709,0.001224,0.002083,0.000544,0.001467,0.001590,0.001160,0.000983,0.001052,0.000884,0.000872,0.001087,0.000387
convnext.stage_1,CNN,0.462460,0.399185,0.450790,0.411500,0.476510,0.399763,0.519136,0.492351,0.504421,0.511573,0.500152,0.494752,0.374230,0.508726,0.513383,0.503538,0.000828,0.003151,0.001395,0.002701,0.001129,0.001603,0.001557,0.000817,0.001282,0.001065,0.000882,0.000269,0.003149,0.000378,0.001655,0.000537
convnext.stage_2,CNN,0.471870,0.454765,0.469002,0.459040,0.489960,0.527774,0.464240,0.523423,0.527806,0.372200,0.524878,0.524166,0.506542,0.523280,0.519576,0.522171,0.000583,0.000446,0.000278,0.000842,0.000692,0.000561,0.000694,0.000424,0.000353,0.001513,0.000616,0.000434,0.000325,0.000779,0.000692,0.000761
convnext.stage_3,CNN,0.508161,0.511286,0.514183,0.518222,0.497727,0.503506,0.503464,0.497294,0.497516,0.500902,0.501484,0.492689,0.497622,0.495511,0.499370,0.495682,0.001019,0.003229,0.001640,0.002806,0.001709,0.002502,0.004134,0.002006,0.001587,0.000828,0.001331,0.001787,0.002208,0.000681,0.001473,0.002298
transformer.block_0,ViT,0.475667,0.475573,0.476165,0.470955,0.496722,0.493652,0.484941,0.489239,0.493617,0.493856,0.492876,0.490627,0.495941,0.501311,0.484200,0.488190,0.001738,0.002529,0.001084,0.002686,0.001038,0.002324,0.000742,0.001337,0.001007,0.000506,0.000473,0.000632,0.000997,0.000798,0.002490,0.001367
transformer.block_1,ViT,0.456205,0.457361,0.458139,0.457205,0.491909,0.500972,0.492778,0.493342,0.503194,0.502197,0.495308,0.499302,0.497130,0.494962,0.487766,0.503896,0.002422,0.002275,0.001815,0.002732,0.003005,0.001615,0.003079,0.001324,0.001896,0.001677,0.001647,0.002704,0.003425,0.002641,0.003465,0.002370
transformer.block_2,ViT,0.447263,0.447648,0.449159,0.448578,0.480573,0.491606,0.477100,0.483807,0.478161,0.477152,0.486358,0.486679,0.477062,0.480995,0.479761,0.490718,0.002681,0.001569,0.001752,0.001875,0.001627,0.000907,0.002546,0.002616,0.003065,0.002324,0.002714,0.002847,0.002554,0.003224,0.001457,0.001736
transformer.block_3,ViT,0.486358,0.484693,0.482571,0.491047,0.487921,0.483429,0.493387,0.485079,0.485189,0.483766,0.482197,0.486118,0.485226,0.487213,0.482609,0.497774,0.001659,0.001946,0.001722,0.001267,0.002554,0.001691,0.001405,0.003529,0.001348,0.001298,0.002099,0.001371,0.001881,0.001977,0.001424,0.003574
transformer.block_4,ViT,0.473632,0.473437,0.469039,0.474576,0.483598,0.483204,0.481216,0.494181,0.493442,0.487586,0.476082,0.490445,0.479845,0.480132,0.489075,0.485911,0.001747,0.003905,0.004214,0.003540,0.004054,0.005142,0.003276,0.001184,0.005030,0.004604,0.003654,0.002425,0.002171,0.003676,0.003519,0.002353
transformer.block_5,ViT,0.494540,0.489316,0.490719,0.494951,0.492304,0.498610,0.500461,0.504110,0.491828,0.496275,0.498099,0.496967,0.491444,0.494870,0.507605,0.494613,0.004041,0.005875,0.004937,0.001887,0.003180,0.007358,0.002186,0.001373,0.002695,0.004820,0.002864,0.002598,0.002652,0.001626,0.002797,0.004017
transformer.block_6,ViT,0.495100,0.496636,0.498614,0.493673,0.499781,0.497221,0.486978,0.495260,0.498071,0.501869,0.497288,0.498836,0.499417,0.497377,0.494064,0.498322,0.006683,0.003241,0.002728,0.003385,0.003276,0.002886,0.004364,0.007116,0.004268,0.003381,0.003867,0.003939,0.009129,0.005570,0.004616,0.002526
transformer.block_7,ViT,0.489392,0.493272,0.489567,0.487449,0.514311,0.504188,0.502905,0.501368,0.504626,0.514058,0.503213,0.511689,0.506312,0.505753,0.506685,0.503263,0.004183,0.004950,0.009031,0.005444,0.005596,0.007553,0.006993,0.006289,0.005688,0.003743,0.006714,0.004985,0.004288,0.004363,0.003087,0.004345
transformer.block_8,ViT,0.492372,0.489353,0.493797,0.495912,0.491177,0.505950,0.508259,0.500835,0.502571,0.500478,0.495348,0.494902,0.504760,0.498961,0.504449,0.490193,0.004881,0.015966,0.008135,0.009931,0.002765,0.006610,0.004229,0.007497,0.008174,0.006470,0.005780,0.005814,0.005924,0.002655,0.005833,0.003694
transformer.block_9,ViT,0.478911,0.480068,0.489094,0.472475,0.497375,0.498576,0.488877,0.497203,0.500987,0.483271,0.496710,0.496939,0.479489,0.490210,0.486805,0.488260,0.005390,0.007753,0.011679,0.004223,0.011596,0.012415,0.008985,0.012253,0.009749,0.011233,0.003567,0.005082,0.005275,0.013419,0.003479,0.006892
transformer.block_10,ViT,0.507670,0.518153,0.505884,0.508362,0.494940,0.508385,0.500215,0.497421,0.489967,0.507068,0.502718,0.496441,0.501877,0.497933,0.495497,0.493505,0.010450,0.009362,0.005978,0.006698,0.011104,0.008407,0.005948,0.013262,0.010510,0.011035,0.008275,0.013242,0.009775,0.015010,0.006805,0.012045
transformer.block_11,ViT,0.482110,0.479877,0.479298,0.472606,0.490963,0.483492,0.478603,0.481912,0.485356,0.499117,0.486880,0.486159,0.492480,0.492448,0.490133,0.494739,0.014776,0.016453,0.011681,0.017899,0.005908,0.006157,0.015894,0.008548,0.008868,0.013652,0.006682,0.016316,0.009247,0.011598,0.007627,0.005712
