Router,Layer_Type,Entropy_Bits,Normalized_Entropy,Max_Expert_Share,HHI_Concentration,Effective_Num_Experts,Normalized_Selected_Gating_Weight_Entropy
convnext.stage_0,CNN,2.2028,0.5507,0.2500,0.2266,4.60,1.0000
convnext.stage_1,CNN,2.0000,0.5000,0.2500,0.2500,4.00,1.0000
convnext.stage_2,CNN,2.2028,0.5507,0.2500,0.2266,4.60,1.0000
convnext.stage_3,CNN,2.4414,0.6104,0.2500,0.1973,5.43,1.0000
transformer.block_0,ViT,2.3514,0.5879,0.2500,0.2129,5.10,1.0000
transformer.block_1,ViT,2.4606,0.6151,0.2500,0.2031,5.50,1.0000
transformer.block_2,ViT,2.4056,0.6014,0.2500,0.2031,5.30,1.0000
transformer.block_3,ViT,2.7028,0.6757,0.2500,0.1758,6.51,1.0000
transformer.block_4,ViT,2.8585,0.7146,0.2500,0.1602,7.25,1.0000
transformer.block_5,ViT,2.9012,0.7253,0.2500,0.1562,7.47,1.0000
transformer.block_6,ViT,3.3431,0.8358,0.1250,0.1035,10.15,1.0000
transformer.block_7,ViT,3.4650,0.8663,0.1875,0.1094,11.04,1.0000
transformer.block_8,ViT,3.2228,0.8057,0.2188,0.1289,9.34,1.0000
transformer.block_9,ViT,3.1800,0.7950,0.1562,0.1172,9.06,1.0000
transformer.block_10,ViT,3.4917,0.8729,0.1875,0.1016,11.25,1.0000
transformer.block_11,ViT,3.4445,0.8611,0.1875,0.1055,10.89,0.9999
