Expert,Name,Type,Shared,Selection_Count,Selection_Ratio,Expected_Uniform_Ratio,Relative_To_Uniform
E0,CNN_Stage_0,CNN,Yes,24,0.046875,0.250000,0.1875
E1,CNN_Stage_1,CNN,Yes,20,0.039062,0.250000,0.1562
E2,CNN_Stage_2,CNN,Yes,24,0.046875,0.250000,0.1875
E3,CNN_Stage_3,CNN,Yes,29,0.056641,0.250000,0.2266
E4,ViT_Block_0,ViT,No,35,0.068359,0.250000,0.2734
E5,ViT_Block_1,ViT,No,51,0.099609,0.250000,0.3984
E6,ViT_Block_2,ViT,No,42,0.082031,0.250000,0.3281
E7,ViT_Block_3,ViT,No,29,0.056641,0.250000,0.2266
E8,ViT_Block_4,ViT,No,41,0.080078,0.250000,0.3203
E9,ViT_Block_5,ViT,No,42,0.082031,0.250000,0.3281
E10,ViT_Block_6,ViT,No,21,0.041016,0.250000,0.1641
E11,ViT_Block_7,ViT,No,34,0.066406,0.250000,0.2656
E12,ViT_Block_8,ViT,No,26,0.050781,0.250000,0.2031
E13,ViT_Block_9,ViT,No,26,0.050781,0.250000,0.2031
E14,ViT_Block_10,ViT,No,34,0.066406,0.250000,0.2656
E15,ViT_Block_11,ViT,No,34,0.066406,0.250000,0.2656
