Router,Layer_Type,CNN_Expert_Selections,CNN_Expert_Selection_Ratio,ViT_Expert_Selections,ViT_Expert_Selection_Ratio,Total_Selections
convnext.stage_0,CNN,10,0.312500,22,0.687500,32
convnext.stage_1,CNN,8,0.250000,24,0.750000,32
convnext.stage_2,CNN,8,0.250000,24,0.750000,32
convnext.stage_3,CNN,19,0.593750,13,0.406250,32
transformer.block_0,ViT,0,0.000000,32,1.000000,32
transformer.block_1,ViT,1,0.031250,31,0.968750,32
transformer.block_2,ViT,0,0.000000,32,1.000000,32
transformer.block_3,ViT,3,0.093750,29,0.906250,32
transformer.block_4,ViT,6,0.187500,26,0.812500,32
transformer.block_5,ViT,11,0.343750,21,0.656250,32
transformer.block_6,ViT,0,0.000000,32,1.000000,32
transformer.block_7,ViT,6,0.187500,26,0.812500,32
transformer.block_8,ViT,4,0.125000,28,0.875000,32
transformer.block_9,ViT,5,0.156250,27,0.843750,32
transformer.block_10,ViT,9,0.281250,23,0.718750,32
transformer.block_11,ViT,7,0.218750,25,0.781250,32
