Router,Layer_Type,Count,Mean,Std,Min,Max,Median
convnext.stage_0,CNN,8,0.5123,0.0013,0.5114,0.5156,0.5118
convnext.stage_1,CNN,8,0.5563,0.0019,0.5547,0.5609,0.5557
convnext.stage_2,CNN,8,0.5542,0.0005,0.5534,0.5549,0.5543
convnext.stage_3,CNN,8,0.4915,0.0023,0.4890,0.4961,0.4912
transformer.block_0,ViT,8,0.5125,0.0008,0.5116,0.5138,0.5122
transformer.block_1,ViT,8,0.5397,0.0012,0.5386,0.5422,0.5393
transformer.block_2,ViT,8,0.5304,0.0015,0.5287,0.5326,0.5298
transformer.block_3,ViT,8,0.4965,0.0024,0.4939,0.5001,0.4954
transformer.block_4,ViT,8,0.5132,0.0029,0.5096,0.5175,0.5121
transformer.block_5,ViT,8,0.5064,0.0026,0.5033,0.5119,0.5061
transformer.block_6,ViT,8,0.4917,0.0026,0.4881,0.4958,0.4927
transformer.block_7,ViT,8,0.5152,0.0068,0.5050,0.5236,0.5168
transformer.block_8,ViT,8,0.5029,0.0078,0.4902,0.5124,0.5065
transformer.block_9,ViT,8,0.5111,0.0037,0.5075,0.5190,0.5098
transformer.block_10,ViT,8,0.4886,0.0025,0.4845,0.4916,0.4889
transformer.block_11,ViT,8,0.5104,0.0110,0.4968,0.5289,0.5091
SUMMARY_CNN_ROUTERS,CNN,32,0.5286,0.0277,0.4890,0.5609,0.5345
SUMMARY_VIT_ROUTERS,ViT,96,0.5099,0.0149,0.4845,0.5422,0.5093
SUMMARY_ALL_ROUTERS,ALL,128,0.5146,0.0206,0.4845,0.5609,0.5115
