Router,Layer_Type,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,Entropy,Normalized_Entropy,Max_Expert_Share,Concentration,Effective_Num_Experts
convnext.stage_0,CNN,0.000000,0.000000,0.062500,0.250000,0.250000,0.000000,0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,2.2028,0.5507,0.2500,0.2266,4.60
convnext.stage_1,CNN,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,2.0000,0.5000,0.2500,0.2500,4.00
convnext.stage_2,CNN,0.250000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.250000,0.000000,0.187500,0.062500,0.000000,0.000000,0.000000,0.000000,2.2028,0.5507,0.2500,0.2266,4.60
convnext.stage_3,CNN,0.000000,0.093750,0.250000,0.250000,0.000000,0.187500,0.156250,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.4414,0.6104,0.2500,0.1973,5.43
transformer.block_0,ViT,0.000000,0.000000,0.000000,0.000000,0.250000,0.125000,0.000000,0.000000,0.093750,0.031250,0.000000,0.000000,0.250000,0.250000,0.000000,0.000000,2.3514,0.5879,0.2500,0.2129,5.10
transformer.block_1,ViT,0.000000,0.000000,0.000000,0.031250,0.000000,0.156250,0.000000,0.000000,0.250000,0.218750,0.000000,0.062500,0.031250,0.000000,0.000000,0.250000,2.4606,0.6151,0.2500,0.2031,5.50
transformer.block_2,ViT,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.187500,0.187500,0.000000,0.062500,0.000000,0.250000,2.4056,0.6014,0.2500,0.2031,5.30
transformer.block_3,ViT,0.000000,0.000000,0.000000,0.093750,0.125000,0.000000,0.250000,0.031250,0.000000,0.000000,0.000000,0.093750,0.031250,0.125000,0.000000,0.250000,2.7028,0.6757,0.2500,0.1758,6.51
transformer.block_4,ViT,0.031250,0.093750,0.000000,0.062500,0.000000,0.000000,0.000000,0.250000,0.187500,0.062500,0.000000,0.187500,0.000000,0.000000,0.093750,0.031250,2.8585,0.7146,0.2500,0.1602,7.25
transformer.block_5,ViT,0.062500,0.062500,0.125000,0.093750,0.000000,0.093750,0.062500,0.218750,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.250000,0.000000,2.9012,0.7253,0.2500,0.1562,7.47
transformer.block_6,ViT,0.000000,0.000000,0.000000,0.000000,0.093750,0.093750,0.000000,0.093750,0.125000,0.125000,0.031250,0.125000,0.125000,0.093750,0.031250,0.062500,3.3431,0.8358,0.1250,0.1035,10.15
transformer.block_7,ViT,0.000000,0.125000,0.031250,0.031250,0.156250,0.031250,0.062500,0.031250,0.062500,0.187500,0.031250,0.125000,0.062500,0.031250,0.031250,0.000000,3.4650,0.8663,0.1875,0.1094,11.04
transformer.block_8,ViT,0.031250,0.031250,0.031250,0.031250,0.000000,0.156250,0.218750,0.062500,0.125000,0.062500,0.000000,0.031250,0.156250,0.000000,0.062500,0.000000,3.2228,0.8057,0.2188,0.1289,9.34
transformer.block_9,ViT,0.000000,0.000000,0.156250,0.000000,0.125000,0.125000,0.093750,0.093750,0.156250,0.000000,0.093750,0.093750,0.000000,0.031250,0.000000,0.031250,3.1800,0.7950,0.1562,0.1172,9.06
transformer.block_10,ViT,0.031250,0.187500,0.000000,0.062500,0.062500,0.125000,0.000000,0.062500,0.000000,0.125000,0.062500,0.031250,0.062500,0.093750,0.031250,0.062500,3.4917,0.8729,0.1875,0.1016,11.25
transformer.block_11,ViT,0.093750,0.031250,0.093750,0.000000,0.031250,0.000000,0.031250,0.000000,0.031250,0.187500,0.031250,0.062500,0.093750,0.125000,0.062500,0.125000,3.4445,0.8611,0.1875,0.1055,10.89
