case_name,dice,iou,precision,recall,tp,fp,fn,tn,gt_area,pred_area,fp_area_ratio,fn_area_ratio,num_gt_cc,num_pred_cc,mean_component_size,perimeter,boundary_to_area_ratio,thinness_score,fragmentation_ratio,mean_routing_entropy,cnn_expert_fraction,vit_expert_fraction,expert_hhi_concentration,mean_gs,cnn_expert_selections,vit_expert_selections,error_taxonomy,primary_error_category,performance_tier
20160328_153629_1281_361,0.9641245730361372,0.9307340901617612,0.9368049605038442,0.9930854670221204,8761,591,61,220987,8822,9352,0.0631950384944396,0.0069145318521877,1,1,8822.0,698,0.0791203808660167,0.0395601904330083,1.0,1.9999236066570183,0.296875,0.703125,0.0751953125,0.52075625,19,45,['high_quality'],high_quality,High_Dice (>75%)
20160402_151054_1281_721,0.9474068495508012,0.9000693659715447,0.9169242997710174,0.979985838805762,41522,3762,848,184268,42370,45284,0.0830757000264994,0.0200141609629454,1,1,42370.0,4055,0.0957045079065376,0.0478522539532688,1.0,1.9999246591688151,0.109375,0.890625,0.0869140625,0.5065999999999999,7,57,['high_quality'],high_quality,High_Dice (>75%)
20160318_181632_1_1,0.9400311287362236,0.8868478633862582,0.9202043435245708,0.960731106028904,30802,2671,1259,195668,32061,33473,0.0797956562005198,0.0392688936714388,1,1,32061.0,3190,0.0994978322572596,0.0497489161286298,1.0,1.9999426931191395,0.171875,0.828125,0.07666015625,0.51355,11,53,['high_quality'],high_quality,High_Dice (>75%)
20160402_151049_1921_1081,0.9378926091282316,0.8830487549459737,0.9287105144262708,0.9472580817901036,17170,1318,956,210956,18126,18488,0.0712894850713976,0.0527419176873,1,1,18126.0,1926,0.1062562065541211,0.0531281032770605,1.0,1.9999575933170837,0.203125,0.796875,0.07373046875,0.5161437500000001,13,51,['high_quality'],high_quality,High_Dice (>75%)
20160328_153620_1_721,0.9373101776050852,0.8820167069001661,0.8928783369541865,0.9863956712237408,6018,722,83,223577,6101,6740,0.1071216617210682,0.013604327159482,1,4,6101.0,709,0.1162104573020816,0.0581052286510408,4.0,1.9999518482119485,0.234375,0.765625,0.06982421875,0.51789375,15,49,['high_quality'],high_quality,High_Dice (>75%)
20160402_151049_1281_721,0.9363749775939604,0.8803619300679619,0.9083679112383316,0.966164030620374,34151,3445,1196,191608,35347,37596,0.0916320885200553,0.033835969106289,2,1,17673.5,3596,0.1017342348714176,0.0508671174357088,0.5,1.999949894380132,0.09375,0.90625,0.08349609375,0.5120625000000001,6,58,['high_quality'],high_quality,High_Dice (>75%)
20160328_153629_641_721,0.9353722252095956,0.87859085340296,0.8977864372511623,0.97624257546586,28107,3200,684,198409,28791,31307,0.1022135624620691,0.0237574241950609,6,1,4798.5,3676,0.1276787885102983,0.0638393942551491,0.1666666666666666,1.9999434014529105,0.171875,0.828125,0.0771484375,0.5122625000000001,11,53,"['complex_topology', 'high_quality']",complex_topology,High_Dice (>75%)
20160402_151049_1921_721,0.9318196992917483,0.8723430854078756,0.9131003791331412,0.951322606603344,20931,1992,1071,206406,22002,22923,0.086899620468525,0.0486773929642759,1,1,22002.0,2377,0.1080356331242614,0.0540178165621307,1.0,1.9999532842037548,0.15625,0.84375,0.07861328125,0.5136375,10,54,['high_quality'],high_quality,High_Dice (>75%)
20160402_151054_641_721,0.9312960738618,0.8714257064882993,0.8963739115975521,0.9690496361017484,21729,2512,694,205465,22423,24241,0.1036260880326719,0.0309503634660839,1,1,22423.0,2562,0.1142576818445346,0.0571288409222673,1.0,1.999943405180652,0.171875,0.828125,0.0849609375,0.51333125,11,53,['high_quality'],high_quality,High_Dice (>75%)
20160402_151054_1281_1081,0.9291684995075028,0.8677074769281252,0.9145496530516456,0.9442622945190688,15840,1480,935,212145,16775,17320,0.0854503464203233,0.0557377049180327,1,1,16775.0,2057,0.1226229508196721,0.061311475409836,1.0,1.9999710921901808,0.15625,0.84375,0.0830078125,0.5134749999999999,10,54,['high_quality'],high_quality,High_Dice (>75%)
