case_name,dice,iou,precision,recall,tp,fp,fn,tn,gt_area,pred_area,fp_area_ratio,fn_area_ratio,num_gt_cc,num_pred_cc,mean_component_size,perimeter,boundary_to_area_ratio,thinness_score,fragmentation_ratio,mean_routing_entropy,cnn_expert_fraction,vit_expert_fraction,expert_hhi_concentration,mean_gs,cnn_expert_selections,vit_expert_selections,error_taxonomy,primary_error_category,performance_tier
20160222_080850_1281_361,0.8869943408488411,0.7969360564844866,0.8991032508896832,0.8752072559859518,17947,2014,2559,207880,20506,19961,0.1008967486598867,0.1247927435872427,1,1,20506.0,3739,0.1823368770116063,0.0911684385058031,1.0,1.9999585552727783,0.140625,0.859375,0.07177734375,0.51445,9,55,['high_quality'],high_quality,High_Dice (>75%)
20160222_080850_1281_721,0.6565016264236738,0.4886508531276438,0.4959875731400787,0.9706180295308104,1916,1947,58,226479,1974,3863,0.5040124255759773,0.0293819655521783,2,1,987.0,936,0.4741641337386018,0.2370820668693009,0.5,1.999934776407032,0.203125,0.796875,0.0791015625,0.51779375,13,51,['moderate_general_error'],moderate_general_error,Low_Dice (<25%)
20160222_080850_1921_1,0.1833241300616729,0.1009118539499819,0.1076000646449521,0.6188257165067501,664,5507,409,223820,1073,6171,0.8923999351806838,0.3811742777260019,1,3,1073.0,330,0.3075489282385834,0.1537744641192917,3.0,1.999950736358192,0.1875,0.8125,0.0732421875,0.514675,12,52,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160222_080850_1921_361,0.892285815590625,0.8055198968733848,0.887657667754534,0.8969624771310527,15060,1906,1730,211704,16790,16966,0.112342331722268,0.103037522334723,1,1,16790.0,2880,0.1715306730196545,0.0857653365098272,1.0,1.9999546627513556,0.15625,0.84375,0.0712890625,0.5137375,10,54,['high_quality'],high_quality,High_Dice (>75%)
20160222_080850_1_361,0.8595785082957502,0.7537375562882398,0.847387269718628,0.8721256540849736,20822,3750,3053,202775,23875,24572,0.1526127299365131,0.1278743455497382,1,1,23875.0,3950,0.1654450261780104,0.0827225130890052,1.0,1.9999367378060195,0.140625,0.859375,0.0771484375,0.5141500000000001,9,55,['high_quality'],high_quality,Medium_Dice (25-75%)
20160222_080850_641_361,0.7724705756129016,0.6292888465778275,0.67806346968818,0.8974186026749533,14636,6949,1673,207142,16309,21585,0.3219365299976836,0.1025813967747869,4,1,4077.25,4122,0.2527438837451713,0.1263719418725856,0.25,1.999919152325312,0.1875,0.8125,0.0712890625,0.5149375,12,52,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_080850_641_721,0.5916831099965775,0.4201349243174521,0.4250314989237385,0.973310889701104,4048,5476,111,220765,4159,9524,0.5749685006299874,0.0266891079586439,1,2,4159.0,1886,0.4534743928829045,0.2267371964414522,2.0,1.9999469236222307,0.203125,0.796875,0.07080078125,0.5137562499999999,13,51,['over_segmentation'],over_segmentation,Low_Dice (<25%)
20160222_115224_1281_1,0.5059937740870297,0.3386825070142011,0.3516847722779554,0.9015813054010354,3820,7042,417,219121,4237,10862,0.6483152273982692,0.098418692471088,10,6,423.7,4075,0.9617654000472032,0.4808827000236016,0.6,1.9999392933823188,0.171875,0.828125,0.07080078125,0.5132062500000001,11,53,"['thin_low_area_failure', 'over_segmentation', 'complex_topology']",thin_low_area_failure,Low_Dice (<25%)
20160222_115224_1281_1081,0.8368747409368543,0.719505259142017,0.7548098422747057,0.9389610372189964,5061,1644,329,223366,5390,6705,0.2451901565995525,0.061038961038961,1,2,5390.0,2275,0.422077922077922,0.211038961038961,2.0,1.999950828837037,0.25,0.75,0.068359375,0.51658125,16,48,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115224_1281_361,0.4769630102580094,0.3131657428351816,0.3401203138821834,0.7980455982733681,1470,2852,372,225706,1842,4322,0.6598796853308654,0.2019543973941368,6,3,307.0,1801,0.977741585233442,0.4888707926167209,0.5,1.9999219394685748,0.203125,0.796875,0.07080078125,0.51235,13,51,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'complex_topology']",false_crack_high_fp,Low_Dice (<25%)
20160222_115224_1281_721,0.7258543828188303,0.5696792996271962,0.6164815741841475,0.8824060677702203,4885,3039,651,221825,5536,7924,0.3835184250378596,0.1175939306358381,4,3,1384.0,2724,0.4920520231213873,0.2460260115606936,0.75,1.9999470335968463,0.171875,0.828125,0.07568359375,0.5129874999999999,11,53,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115224_1921_1081,0.7754196997927788,0.6332126195902089,0.6577109045797372,0.9444444371570644,1224,637,72,228467,1296,1861,0.3422890918860827,0.0555555555555555,1,1,1296.0,552,0.4259259259259259,0.2129629629629629,1.0,1.9999272593089492,0.296875,0.703125,0.076171875,0.5177499999999999,19,45,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115224_641_1,0.6894637500336052,0.5260928494357058,0.6105594330837092,0.7917888552954369,6210,3961,1633,218596,7843,10171,0.3894405663159964,0.2082111436950146,4,4,1960.75,4660,0.5941603978069616,0.2970801989034808,1.0,1.9999425955574477,0.21875,0.78125,0.0732421875,0.5155750000000001,14,50,['boundary_margin_error'],boundary_margin_error,Low_Dice (<25%)
20160222_115224_641_1081,0.0412446169459303,0.0210565429980451,0.023010286936241,0.1987142010595312,340,14436,1371,214253,1711,14776,0.9769897130481864,0.8012857977790766,1,7,1711.0,1669,0.9754529514903564,0.4877264757451782,7.0,1.999947719328564,0.203125,0.796875,0.07373046875,0.51465625,13,51,"['missed_crack_high_fn', 'false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'fragmented_prediction']",missed_crack_high_fn,Low_Dice (<25%)
20160222_115224_641_361,0.7713197959754825,0.6277628576166849,0.6344467627673346,0.9834951424482358,3039,1751,51,225559,3090,4790,0.365553235908142,0.016504854368932,2,1,1545.0,1649,0.5336569579288026,0.2668284789644013,0.5,1.9999113743178656,0.25,0.75,0.07958984375,0.5170375,16,48,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115224_641_721,0.4804642160148753,0.3161914454918679,0.5136476412637231,0.4513081384415985,1863,1764,2265,224508,4128,3627,0.4863523573200992,0.5486918604651163,5,4,825.6,2219,0.5375484496124031,0.2687742248062015,0.8,1.999954257788609,0.21875,0.78125,0.07470703125,0.51525,14,50,"['thin_low_area_failure', 'complex_topology']",thin_low_area_failure,Low_Dice (<25%)
20160222_115837_1281_1,0.6372794349456019,0.4676523208704659,0.4781436544597115,0.9551836873337496,4966,5420,233,219781,5199,10386,0.5218563450799153,0.0448163108290055,1,3,5199.0,2135,0.4106558953644931,0.2053279476822465,3.0,1.999966361732524,0.1875,0.8125,0.0791015625,0.5140125,12,52,['moderate_general_error'],moderate_general_error,Low_Dice (<25%)
20160222_115837_1281_1081,0.5834569303098038,0.4118878859344589,0.4122863585741916,0.997658989474604,2557,3645,6,224192,2563,6202,0.5877136407610448,0.0023410066328521,4,2,640.75,1867,0.7284432305891534,0.3642216152945767,0.5,1.999961641606312,0.21875,0.78125,0.07763671875,0.5145124999999999,14,50,['over_segmentation'],over_segmentation,Low_Dice (<25%)
20160222_115837_1281_361,0.6906031999480886,0.5274208703738313,0.5321739122020966,0.9833479375303886,3366,2959,57,224018,3423,6325,0.4678260869565217,0.0166520595968448,4,4,855.75,2052,0.5994741454864154,0.2997370727432077,1.0,1.9999652311959497,0.171875,0.828125,0.080078125,0.5138125,11,53,['moderate_general_error'],moderate_general_error,Low_Dice (<25%)
20160222_115837_1281_721,0.6550880618210763,0.4870862122824914,0.4881516578779591,0.9955390297563604,2678,2808,12,224902,2690,5486,0.5118483412322274,0.0044609665427509,1,1,2690.0,2008,0.7464684014869889,0.3732342007434944,1.0,1.9999526891562955,0.1875,0.8125,0.07958984375,0.5149375,12,52,['over_segmentation'],over_segmentation,Low_Dice (<25%)
20160222_164851_1281_1081,0.8450849196051137,0.7317290543268029,0.7858607947684113,0.913963102872196,5747,1566,541,222546,6288,7313,0.2141392041569807,0.0860368956743002,2,2,3144.0,1152,0.183206106870229,0.0916030534351145,1.0,1.999947641791044,0.28125,0.71875,0.08544921875,0.5176124999999999,18,46,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_164851_641_1,0.8443882000155402,0.73068499302871,0.8641479091960094,0.8255119446881297,9675,1521,2045,217159,11720,11196,0.1358520900321543,0.1744880546075085,2,2,5860.0,2308,0.1969283276450512,0.0984641638225256,1.0,1.9999456423491644,0.28125,0.71875,0.0771484375,0.5188875,18,46,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_164851_641_1081,0.7081785478458762,0.5482015697022078,0.5658688272089438,0.9461162739150524,6005,4607,342,219446,6347,10612,0.4341311722578213,0.0538837245942965,3,4,2115.6666666666665,2372,0.3737198676540098,0.1868599338270049,1.3333333333333333,1.999937104340908,0.296875,0.703125,0.07763671875,0.517675,19,45,['moderate_general_error'],moderate_general_error,Medium_Dice (25-75%)
20160222_164851_641_361,0.8002657706248327,0.6670358743049438,0.7019816081453298,0.9305519779117932,10840,4602,809,214149,11649,15442,0.2980183914000777,0.069448021289381,7,3,1664.142857142857,3669,0.3149626577388617,0.1574813288694308,0.4285714285714285,1.9999625163632808,0.21875,0.78125,0.068359375,0.51686875,14,50,"['complex_topology', 'boundary_margin_error']",complex_topology,Medium_Dice (25-75%)
20160222_164851_641_721,0.828240683589708,0.7068351597382985,0.7510942942717603,0.9230488685967826,10124,3355,844,216077,10968,13479,0.2489057051710067,0.0769511305616338,3,3,3656.0,2773,0.2528264040846097,0.1264132020423048,1.0,1.9999499231094624,0.28125,0.71875,0.07421875,0.5177687499999999,18,46,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_165225_1281_361,0.8080668329654304,0.6779464279661193,0.686776410377373,0.9813881336675868,7593,3463,144,219200,7737,11056,0.3132235890014472,0.0186118650639782,1,1,7737.0,3094,0.3998966007496445,0.1999483003748222,1.0,1.9999466464279865,0.203125,0.796875,0.07568359375,0.5169625,13,51,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_165225_1281_721,0.7233927587158488,0.5666525579066756,0.5877963099745552,0.9403089821607516,1339,939,85,228037,1424,2278,0.4122036874451273,0.059691011235955,1,1,1424.0,650,0.4564606741573033,0.2282303370786516,1.0,1.999897872713082,0.296875,0.703125,0.08154296875,0.52033125,19,45,['moderate_general_error'],moderate_general_error,Medium_Dice (25-75%)
20160222_165225_1921_721,0.6409406398834867,0.4716060671761521,0.482718264427933,0.9534596995631688,6187,6630,302,217281,6489,12817,0.5172817351954435,0.0465402989674834,2,1,3244.5,3365,0.5185698875019263,0.2592849437509631,0.5,1.9998950442220724,0.296875,0.703125,0.0751953125,0.5158875,19,45,['moderate_general_error'],moderate_general_error,Low_Dice (<25%)
20160222_165225_1_361,0.742374089350525,0.5902980234934418,0.6030944889929717,0.9653026076475928,7289,4797,262,218052,7551,12086,0.3969055105080258,0.0346973910740299,1,1,7551.0,3404,0.4508012183816713,0.2254006091908356,1.0,1.9999427423631069,0.234375,0.765625,0.080078125,0.5163375,15,49,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_165225_641_361,0.7783888704958541,0.6371822028273463,0.7022083853466209,0.8731099541876014,7218,3061,1049,219072,8267,10279,0.2977916139702306,0.1268900447562598,4,2,2066.75,4037,0.4883270835853393,0.2441635417926696,0.5,1.9999493909250845,0.21875,0.78125,0.07666015625,0.51625,14,50,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_165402_1281_1,0.922870255836298,0.8567865299763183,0.8940461979242531,0.9536148051433028,8244,977,401,220778,8645,9221,0.1059538011061707,0.0463851937536148,1,1,8645.0,2045,0.236552920763447,0.1182764603817235,1.0,1.999921504790235,0.328125,0.671875,0.0732421875,0.5196937500000001,21,43,['high_quality'],high_quality,High_Dice (>75%)
20160222_165402_1281_361,0.9144814294581604,0.8424373882444909,0.8624205098794585,0.9732315742416772,8544,1363,235,220258,8779,9907,0.1375794892500252,0.0267684246497323,2,1,4389.5,2052,0.2337396058776626,0.1168698029388313,0.5,1.9999246946821936,0.359375,0.640625,0.0751953125,0.52075,23,41,['high_quality'],high_quality,High_Dice (>75%)
