case_name,dice,iou,precision,recall,tp,fp,fn,tn,gt_area,pred_area,fp_area_ratio,fn_area_ratio,num_gt_cc,num_pred_cc,mean_component_size,perimeter,boundary_to_area_ratio,thinness_score,fragmentation_ratio,mean_routing_entropy,cnn_expert_fraction,vit_expert_fraction,expert_hhi_concentration,mean_gs,cnn_expert_selections,vit_expert_selections,error_taxonomy,primary_error_category,performance_tier
20160326_142521_641_1081,0.0,0.0,0.0,0.0,0,895,2487,227018,2487,895,1.0,1.0,2,3,1243.5,797,0.3204664254121431,0.1602332127060715,1.5,1.9999213916405372,0.1875,0.8125,0.07666015625,0.5165437500000001,12,52,"['missed_crack_high_fn', 'false_crack_high_fp', 'thin_low_area_failure']",missed_crack_high_fn,Low_Dice (<25%)
20160326_142521_641_1,0.0045019695863704,0.0022560631570442,0.0094786727611688,0.002952029498509,4,418,1351,228627,1355,422,0.990521327014218,0.9970479704797048,1,3,1355.0,291,0.214760147601476,0.107380073800738,3.0,1.9999322918438731,0.265625,0.734375,0.07421875,0.5156937500000001,17,47,"['missed_crack_high_fn', 'thin_low_area_failure']",missed_crack_high_fn,Low_Dice (<25%)
20160222_115224_641_1081,0.0412446169459303,0.0210565429980451,0.023010286936241,0.1987142010595312,340,14436,1371,214253,1711,14776,0.9769897130481864,0.8012857977790766,1,7,1711.0,1669,0.9754529514903564,0.4877264757451782,7.0,1.999947719328564,0.203125,0.796875,0.07373046875,0.51465625,13,51,"['missed_crack_high_fn', 'false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'fragmented_prediction']",missed_crack_high_fn,Low_Dice (<25%)
20160222_080850_1921_1,0.1833241300616729,0.1009118539499819,0.1076000646449521,0.6188257165067501,664,5507,409,223820,1073,6171,0.8923999351806838,0.3811742777260019,1,3,1073.0,330,0.3075489282385834,0.1537744641192917,3.0,1.999950736358192,0.1875,0.8125,0.0732421875,0.514675,12,52,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160326_141808_1281_1,0.2016612827244568,0.1121375416028247,0.1541990118158092,0.2913333326859259,1311,7191,3189,218709,4500,8502,0.8458009880028229,0.7086666666666667,4,8,1125.0,1265,0.2811111111111111,0.1405555555555555,2.0,1.9999421636594388,0.15625,0.84375,0.07275390625,0.5113875,10,54,"['missed_crack_high_fn', 'false_crack_high_fp', 'thin_low_area_failure']",missed_crack_high_fn,Low_Dice (<25%)
20160329_103807_1081_1,0.2056364196258339,0.1146013115039673,0.1431034479674494,0.3652365216433634,664,3976,1154,224606,1818,4640,0.8568965517241379,0.6347634763476347,1,3,1818.0,702,0.3861386138613861,0.193069306930693,3.0,1.9999374644336096,0.21875,0.78125,0.07861328125,0.5151125,14,50,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160318_181632_641_721,0.215146774440833,0.1205403174669619,0.120552748148342,0.999145290605596,1169,8528,1,220702,1170,9697,0.8794472517273384,0.0008547008547008,1,1,1170.0,668,0.5709401709401709,0.2854700854700854,1.0,1.9999643758814465,0.234375,0.765625,0.07763671875,0.51506875,15,49,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160321_185557_1_361,0.307053941522628,0.1813725487501893,0.1820486056626679,0.979935786677883,1221,5486,25,223668,1246,6707,0.8179513940659013,0.0200642054574638,1,3,1246.0,314,0.2520064205457464,0.1260032102728732,3.0,1.9999425131817008,0.21875,0.78125,0.07470703125,0.51539375,14,50,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
IMG_2942_649_485,0.3157894734562201,0.1874999998392489,0.1894983102075224,0.9467532426547478,2187,9354,123,301968,2310,11541,0.8105016896282817,0.0532467532467532,3,3,770.0,1534,0.664069264069264,0.332034632034632,1.0,1.999913106394862,0.234375,0.765625,0.07666015625,0.51641875,15,49,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160316_143547_1281_361,0.3488084724645923,0.2112465250988956,0.2124731178226384,0.9733990051881872,988,3662,27,225723,1015,4650,0.7875268817204301,0.0266009852216748,1,3,1015.0,210,0.2068965517241379,0.1034482758620689,3.0,1.9999311697463305,0.25,0.75,0.0791015625,0.5153749999999999,16,48,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160326_142521_1281_1081,0.3776956248033031,0.2328142798465357,0.3824079838352838,0.3730979903435849,1226,1980,2060,225134,3286,3206,0.6175920149719276,0.6269020085209982,2,1,1643.0,933,0.2839318320146074,0.1419659160073037,0.5,1.9999021361045688,0.21875,0.78125,0.076171875,0.516475,14,50,['thin_low_area_failure'],thin_low_area_failure,Low_Dice (<25%)
20160302_155857_1281_721,0.38330708601054,0.2370933172860056,0.2370933172860056,0.9999999917830732,1217,3916,0,225267,1217,5133,0.7629066822520942,0.0,1,2,1217.0,430,0.3533278553820871,0.1766639276910435,2.0,1.9999463515913316,0.203125,0.796875,0.07421875,0.5162437500000001,13,51,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160310_114505_1281_1,0.3995647438524867,0.249660048613462,0.249660048613462,0.999999994553377,1836,5518,0,223046,1836,7354,0.7503399510470492,0.0,4,1,459.0,1931,1.051742919389978,0.525871459694989,0.25,1.9999764689624824,0.203125,0.796875,0.07763671875,0.5143187499999999,13,51,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160328_151020_1_361,0.400450450149812,0.2503520132823129,0.2523417539480161,0.9694656453309136,2667,7902,84,219747,2751,10569,0.7476582458132274,0.0305343511450381,1,2,2751.0,1264,0.4594692838967648,0.2297346419483824,2.0,1.9999440222719909,0.21875,0.78125,0.080078125,0.5165500000000001,14,50,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160328_151752_1_721,0.4394527252614811,0.2816016742172162,0.2816016742172162,0.9999999907063198,1076,2745,0,226579,1076,3821,0.7183983250457995,0.0,5,2,215.2,573,0.5325278810408922,0.2662639405204461,0.4,1.999944239439916,0.25,0.75,0.0703125,0.51724375,16,48,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'complex_topology']",false_crack_high_fp,Low_Dice (<25%)
IMG_2942_1945_485,0.4404583953018304,0.2824281147581669,0.2834111932917366,0.98786717436824,3094,7823,38,302677,3132,10917,0.7165888064486581,0.01213282247765,3,3,1044.0,1994,0.6366538952745849,0.3183269476372924,1.0,1.9998656786440767,0.296875,0.703125,0.0751953125,0.51710625,19,45,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
