case_name,dice,iou,precision,recall,tp,fp,fn,tn,gt_area,pred_area,fp_area_ratio,fn_area_ratio,num_gt_cc,num_pred_cc,mean_component_size,perimeter,boundary_to_area_ratio,thinness_score,fragmentation_ratio,mean_routing_entropy,cnn_expert_fraction,vit_expert_fraction,expert_hhi_concentration,mean_gs,cnn_expert_selections,vit_expert_selections,error_taxonomy,primary_error_category,performance_tier
20160328_153629_1281_361,0.9639956086915502,0.9304937476896655,0.934454138184237,0.9954658796242736,8782,616,40,220962,8822,9398,0.06554586082145138,0.004534119247336205,1,1,8822.0,698,0.07912038086601678,0.03956019043300839,1.0,1.9999820605018643,0.4583333333333333,0.5416666666666666,0.10416666666666667,0.5142833333333333,22,26,['high_quality'],high_quality,High_Dice (>75%)
20160402_151054_1281_721,0.949685246543472,0.904191094543907,0.9219333331284592,0.9791597826341374,41487,3513,883,184517,42370,45000,0.07806666666666667,0.020840217134765165,1,1,42370.0,4055,0.09570450790653764,0.04785225395326882,1.0,1.999985792762434,0.22916666666666666,0.7708333333333334,0.09635416666666669,0.5088583333333333,11,37,['high_quality'],high_quality,High_Dice (>75%)
20160328_153620_1_721,0.9489875993180132,0.9029271193205988,0.9104050581081087,0.990985082788092,6046,595,55,223704,6101,6641,0.08959494052100588,0.009014915587608589,1,2,6101.0,709,0.11621045730208163,0.05810522865104081,2.0,1.9999809545563034,0.4375,0.5625,0.09548611111111112,0.5140916666666667,21,27,['high_quality'],high_quality,High_Dice (>75%)
20160318_181632_1_1,0.9417262147161066,0.8898701147203399,0.9168143681564414,0.9680296930950283,31036,2816,1025,195523,32061,33852,0.08318563157272835,0.03197030660303796,1,1,32061.0,3190,0.0994978322572596,0.0497489161286298,1.0,1.999987299049294,0.1875,0.8125,0.10416666666666667,0.5107499999999999,9,39,['high_quality'],high_quality,High_Dice (>75%)
20160402_151054_641_721,0.9394571125664731,0.8858266117270593,0.9066622413894208,0.9747134634193848,21856,2250,567,205727,22423,24106,0.09333775823446445,0.0252865361459216,1,1,22423.0,2562,0.11425768184453464,0.05712884092226732,1.0,1.9999838789525113,0.375,0.625,0.09027777777777779,0.5118583333333334,18,30,['high_quality'],high_quality,High_Dice (>75%)
20160402_151049_1281_721,0.9357565855373008,0.8792693220561134,0.9018578773743419,0.9723031654815675,34368,3740,979,191313,35347,38108,0.09814212238899969,0.0276968342433587,2,1,17673.5,3596,0.10173423487141765,0.05086711743570883,0.5,1.9999893666219766,0.3333333333333333,0.6666666666666666,0.09114583333333334,0.5113249999999999,16,32,['high_quality'],high_quality,High_Dice (>75%)
20160402_151049_1921_1081,0.9323300156613722,0.8732380129979094,0.9120363036715549,0.9535473899627346,17284,1667,842,210607,18126,18951,0.08796369584718484,0.04645260951119938,1,1,18126.0,1926,0.10625620655412116,0.05312810327706058,1.0,1.9999875784942722,0.4166666666666667,0.5833333333333334,0.09635416666666667,0.5133333333333333,20,28,['high_quality'],high_quality,High_Dice (>75%)
20160318_181632_641_361,0.9307396376668575,0.8704518286228897,0.9390086649115409,0.9226149750607842,36411,2365,3054,188570,39465,38776,0.06099133484629668,0.0773850247054352,1,1,39465.0,3248,0.08230077283669074,0.04115038641834537,1.0,1.9999794570652771,0.20833333333333334,0.7916666666666666,0.09895833333333334,0.5097916666666668,10,38,['high_quality'],high_quality,High_Dice (>75%)
20160402_151049_1921_721,0.9302591629052978,0.869611714022042,0.9015009377019013,0.9609126438683244,21142,2310,860,206088,22002,23452,0.09849906191369606,0.03908735569493682,1,1,22002.0,2377,0.10803563312426143,0.05401781656213071,1.0,1.9999879418765432,0.3958333333333333,0.6041666666666666,0.08940972222222222,0.5111416666666667,19,29,['high_quality'],high_quality,High_Dice (>75%)
20160328_153629_641_721,0.9283284301726743,0.8662434054514037,0.8810519088841241,0.9809662738421846,28243,3813,548,197796,28791,32056,0.1189480908410282,0.01903372581709562,6,1,4798.5,3676,0.12767878851029835,0.06383939425514917,0.16666666666666666,1.9999813718760107,0.25,0.75,0.09635416666666667,0.5106333333333334,12,36,"['complex_topology', 'high_quality']",complex_topology,High_Dice (>75%)
