case_name,dice,iou,precision,recall,tp,fp,fn,tn,gt_area,pred_area,fp_area_ratio,fn_area_ratio,num_gt_cc,num_pred_cc,mean_component_size,perimeter,boundary_to_area_ratio,thinness_score,fragmentation_ratio,mean_routing_entropy,cnn_expert_fraction,vit_expert_fraction,expert_hhi_concentration,mean_gs,cnn_expert_selections,vit_expert_selections,error_taxonomy,primary_error_category,performance_tier
20160222_080850_1281_361,0.8760854867463768,0.7794947715464539,0.9382936060713446,0.8216131859838032,16848,1108,3658,208786,20506,17956,0.06170639340610381,0.17838681361552716,1,1,20506.0,3739,0.18233687701160636,0.09116843850580318,1.0,1.9999755337755534,0.375,0.625,0.09114583333333333,0.5106166666666666,18,30,['high_quality'],high_quality,High_Dice (>75%)
20160222_080850_1281_721,0.6899870429576401,0.5267024568332793,0.5435987152417652,0.9442755777898907,1864,1565,110,226861,1974,3429,0.4564012831729367,0.05572441742654509,2,1,987.0,936,0.47416413373860183,0.23708206686930092,0.5,1.9999406418721877,0.375,0.625,0.10069444444444446,0.5121333333333334,18,30,['moderate_general_error'],moderate_general_error,Low_Dice (<25%)
20160222_080850_1921_1,0.11995461167129631,0.06380410410087592,0.06569019079832207,0.6896551659864384,740,10525,333,218802,1073,11265,0.9343098091433644,0.3103448275862069,1,3,1073.0,330,0.30754892823858343,0.15377446411929171,3.0,1.9999619956402224,0.3125,0.6875,0.10069444444444445,0.5106666666666667,15,33,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160222_080850_1921_361,0.8636249368829736,0.7599823024223082,0.9140614600811086,0.8184633705667282,13742,1292,3048,212318,16790,15034,0.0859385393108953,0.18153662894580108,1,1,16790.0,2880,0.17153067301965455,0.08576533650982728,1.0,1.9999794846339063,0.3541666666666667,0.6458333333333334,0.0998263888888889,0.5115083333333333,17,31,['high_quality'],high_quality,Medium_Dice (25-75%)
20160222_080850_1_361,0.8416132585946007,0.7265390983097089,0.8207731196222887,0.8635392666540149,20617,4502,3258,202023,23875,25119,0.17922688005095744,0.1364607329842932,1,1,23875.0,3950,0.16544502617801046,0.08272251308900523,1.0,1.9999693933215035,0.3333333333333333,0.6666666666666666,0.0998263888888889,0.5110166666666666,16,32,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_080850_641_361,0.7694071403075097,0.6252328983119364,0.6933635063249061,0.8641854185638694,14094,6233,2215,207858,16309,20327,0.3066364933339893,0.1358145809062481,4,1,4077.25,4122,0.25274388374517137,0.12637194187258569,0.25,1.9999657752895648,0.3333333333333333,0.6666666666666666,0.09114583333333334,0.5104500000000001,16,32,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_080850_641_721,0.6888144899228994,0.5253371735952113,0.5356475293249032,0.9646549628164104,4012,3478,147,222763,4159,7490,0.4643524699599466,0.035345034864150034,1,1,4159.0,1886,0.45347439288290453,0.22673719644145227,1.0,1.9999590340211275,0.3541666666666667,0.6458333333333334,0.1015625,0.5108583333333333,17,31,['moderate_general_error'],moderate_general_error,Low_Dice (<25%)
20160222_115224_1281_1,0.5344559215123419,0.364680891798126,0.38163079682567363,0.8914326153140605,3777,6120,460,220043,4237,9897,0.6183692027887239,0.10856738258201558,10,6,423.7,4075,0.9617654000472032,0.4808827000236016,0.6,1.9999801673881625,0.2916666666666667,0.7083333333333334,0.09809027777777778,0.5105000000000001,14,34,"['thin_low_area_failure', 'over_segmentation', 'complex_topology']",thin_low_area_failure,Low_Dice (<25%)
20160222_115224_1281_1081,0.8423588032870775,0.727651024928037,0.7625563898307423,0.9408163247851274,5071,1579,319,223431,5390,6650,0.2374436090225564,0.05918367346938776,1,2,5390.0,2275,0.42207792207792205,0.21103896103896103,2.0,1.9999723649183119,0.3541666666666667,0.6458333333333334,0.10416666666666667,0.5123416666666666,17,31,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115224_1281_361,0.5109337026884178,0.3431235423237214,0.3755102031236984,0.7991313745975496,1472,2448,370,226110,1842,3920,0.6244897959183674,0.2008686210640608,6,3,307.0,1801,0.9777415852334419,0.48887079261672095,0.5,1.9999707916784282,0.2916666666666667,0.7083333333333334,0.09461805555555555,0.5105416666666667,14,34,"['thin_low_area_failure', 'over_segmentation', 'complex_topology']",thin_low_area_failure,Low_Dice (<25%)
20160222_115224_1281_721,0.7653740691223079,0.6199238570813149,0.675750448643311,0.8824060677702203,4885,2344,651,222520,5536,7229,0.3242495504219117,0.11759393063583815,4,2,1384.0,2724,0.4920520231213873,0.24602601156069365,0.5,1.9999840407075664,0.3333333333333333,0.6666666666666666,0.09635416666666667,0.5118333333333334,16,32,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115224_1921_1081,0.8005139710873306,0.6673808212780888,0.6857457309535183,0.9614197456680575,1246,571,50,228533,1296,1817,0.31425426527242706,0.038580246913580245,1,1,1296.0,552,0.42592592592592593,0.21296296296296297,1.0,1.9999565310968912,0.3125,0.6875,0.0920138888888889,0.5112583333333333,15,33,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115224_641_1,0.70973393150677,0.5500678881958012,0.621893887919127,0.8264694621618393,6482,3941,1361,218616,7843,10423,0.3781061114842176,0.17353053678439373,4,5,1960.75,4660,0.5941603978069616,0.2970801989034808,1.25,1.99997278981009,0.3958333333333333,0.6041666666666666,0.10329861111111112,0.5117416666666668,19,29,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115224_641_1081,0.0,0.0,0.0,0.0,0,5564,1711,223125,1711,5564,1.0,1.0,1,10,1711.0,1669,0.9754529514903565,0.48772647574517825,10.0,1.999977246877554,0.2916666666666667,0.7083333333333334,0.08940972222222222,0.511725,14,34,"['missed_crack_high_fn', 'false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'fragmented_prediction']",missed_crack_high_fn,Low_Dice (<25%)
20160222_115224_641_361,0.794509699360552,0.6590759784123583,0.6708268315782776,0.9741100292099999,3010,1477,80,225833,3090,4487,0.3291731669266771,0.025889967637540454,2,2,1545.0,1649,0.5336569579288026,0.2668284789644013,1.0,1.9999605818749988,0.3333333333333333,0.6666666666666666,0.08940972222222222,0.5111416666666667,16,32,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115224_641_721,0.580364088096524,0.4088119236983518,0.8112222670238265,0.45179263456445584,1865,434,2263,225838,4128,2299,0.18877772944758592,0.5482073643410853,5,2,825.6,2219,0.5375484496124031,0.26877422480620156,0.4,1.9999718397196367,0.25,0.75,0.09027777777777779,0.5112833333333334,12,36,['complex_topology'],complex_topology,Low_Dice (<25%)
20160222_115837_1281_1,0.7004297989251935,0.5389703444615034,0.5580413188471164,0.9403731468736812,4889,3872,310,221329,5199,8761,0.44195868051592285,0.05962685131756107,1,3,5199.0,2135,0.41065589536449315,0.20532794768224658,3.0,1.999970170417563,0.375,0.625,0.0954861111111111,0.5116999999999999,18,30,['moderate_general_error'],moderate_general_error,Medium_Dice (25-75%)
20160222_115837_1281_1081,0.610250297246424,0.4391080609963841,0.439334133448886,0.998829492786463,2560,3267,3,224570,2563,5827,0.5606658657971512,0.0011705033164260631,4,2,640.75,1867,0.7284432305891534,0.3642216152945767,0.5,1.9999705967062595,0.3958333333333333,0.6041666666666666,0.0998263888888889,0.5122249999999999,19,29,['over_segmentation'],over_segmentation,Low_Dice (<25%)
20160222_115837_1281_361,0.7489610235325609,0.5986712145831007,0.6083941594737333,0.9739994128717516,3334,2146,89,224831,3423,5480,0.3916058394160584,0.026000584282792873,4,3,855.75,2052,0.5994741454864154,0.2997370727432077,0.75,1.9999827480112258,0.4375,0.5625,0.09635416666666667,0.5118,21,27,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_115837_1281_721,0.7018511215677418,0.5406553387122668,0.5425208026334062,0.9936802937037906,2673,2254,17,225456,2690,4927,0.45747919626547595,0.006319702602230483,1,2,2690.0,2008,0.7464684014869889,0.37323420074349445,2.0,1.9999703498215495,0.3541666666666667,0.6458333333333334,0.09548611111111112,0.5122,17,31,['moderate_general_error'],moderate_general_error,Medium_Dice (25-75%)
20160222_164851_1281_1081,0.8464464159546227,0.7337729496589437,0.7969386310954379,0.9025127212110167,5675,1446,613,222666,6288,7121,0.20306136778542339,0.09748727735368956,2,2,3144.0,1152,0.183206106870229,0.0916030534351145,1.0,1.9999705124852056,0.2916666666666667,0.7083333333333334,0.09635416666666667,0.5120250000000001,14,34,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_164851_641_1,0.8597281359074156,0.753967683480095,0.8264326189968257,0.8958191118636356,10499,2205,1221,216475,11720,12704,0.17356738035264482,0.10418088737201366,2,2,5860.0,2308,0.1969283276450512,0.0984641638225256,1.0,1.9999568387466882,0.375,0.625,0.09809027777777779,0.5127333333333334,18,30,['high_quality'],high_quality,Medium_Dice (25-75%)
20160222_164851_641_1081,0.7270943206628884,0.5712083247531237,0.5952404853948785,0.933984558162936,5928,4031,419,220022,6347,9959,0.4047595140074305,0.06601544036552702,3,4,2115.6666666666665,2372,0.3737198676540098,0.1868599338270049,1.3333333333333333,1.9999785741104386,0.3958333333333333,0.6041666666666666,0.0998263888888889,0.5123833333333333,19,29,['moderate_general_error'],moderate_general_error,Medium_Dice (25-75%)
20160222_164851_641_361,0.8142782462794869,0.6867363643489506,0.72054450490944,0.9360460117297227,10904,4229,745,214522,11649,15133,0.2794554946144188,0.06395398746673535,7,3,1664.142857142857,3669,0.31496265773886173,0.15748132886943086,0.42857142857142855,1.9999820188727615,0.375,0.625,0.09461805555555555,0.5124833333333333,18,30,"['complex_topology', 'boundary_margin_error']",complex_topology,Medium_Dice (25-75%)
20160222_164851_641_721,0.8478904061735945,0.7359459644438571,0.7632250997714519,0.9536834418730092,10460,3245,508,216187,10968,13705,0.2367748996716527,0.04631655725747629,3,4,3656.0,2773,0.25282640408460977,0.12641320204230488,1.3333333333333333,1.999976245900972,0.3541666666666667,0.6458333333333334,0.0998263888888889,0.5125833333333333,17,31,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_165225_1281_361,0.837737571578256,0.7207817710461778,0.7501022069193559,0.9485588717221677,7339,2445,398,220218,7737,9784,0.24989779231398201,0.05144112705182888,1,1,7737.0,3094,0.39989660074964456,0.19994830037482228,1.0,1.999966885801889,0.4166666666666667,0.5833333333333334,0.09809027777777778,0.5125,20,28,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_165225_1281_721,0.7625377620467136,0.6162109344911575,0.6691410356885417,0.8862359488326127,1262,624,162,228352,1424,1886,0.33085896076352067,0.11376404494382023,1,1,1424.0,650,0.45646067415730335,0.22823033707865167,1.0,1.999946315617561,0.3541666666666667,0.6458333333333334,0.09461805555555555,0.5121333333333334,17,31,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_165225_1921_721,0.6872864376768667,0.5235616187742917,0.5563185497793814,0.8989058392681372,5833,4652,656,219259,6489,10485,0.44368144969003337,0.10109415934658653,2,2,3244.5,3365,0.5185698875019263,0.25928494375096317,1.0,1.999966795407772,0.375,0.625,0.09809027777777776,0.5125166666666666,18,30,['moderate_general_error'],moderate_general_error,Low_Dice (<25%)
20160222_165225_1_361,0.7680137570833971,0.6233947509553371,0.6770770156892288,0.887167261439323,6699,3195,852,219654,7551,9894,0.3229229836264403,0.11283273738577672,1,1,7551.0,3404,0.4508012183816713,0.22540060919083565,1.0,1.9999691786271727,0.3958333333333333,0.6041666666666666,0.09461805555555555,0.5123749999999999,19,29,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_165225_641_361,0.7979568037321877,0.6638337176315624,0.7374794737915851,0.8692391425314635,7186,2558,1081,219575,8267,9744,0.26252052545155996,0.13076085641707996,4,4,2066.75,4037,0.4883270835853393,0.24416354179266966,1.0,1.9999683379033122,0.4166666666666667,0.5833333333333334,0.10069444444444445,0.5126499999999999,20,28,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160222_165402_1281_1,0.9243976732625878,0.8594232740891624,0.886822528281804,0.9652978589181055,8345,1065,300,220690,8645,9410,0.11317747077577045,0.03470213996529786,1,1,8645.0,2045,0.23655292076344708,0.11827646038172354,1.0,1.99996511384186,0.4166666666666667,0.5833333333333334,0.10069444444444445,0.51345,20,28,['high_quality'],high_quality,High_Dice (>75%)
20160222_165402_1281_361,0.8796973255893976,0.7852318357199417,0.7980519473116401,0.9799521574439547,8603,2177,176,219444,8779,10780,0.20194805194805196,0.02004784143979952,2,1,4389.5,2052,0.2337396058776626,0.1168698029388313,0.5,1.9999558145870662,0.4583333333333333,0.5416666666666666,0.10243055555555555,0.5141,22,26,['high_quality'],high_quality,High_Dice (>75%)
20160222_165402_641_1081,0.9272747354541095,0.8644102698994849,0.9042660148633539,0.9514849233344783,12591,1333,642,215834,13233,13924,0.09573398448721632,0.04851507594649739,1,1,13233.0,1717,0.12975137912793774,0.06487568956396887,1.0,1.9999442628108817,0.3541666666666667,0.6458333333333334,0.09375,0.5115333333333333,17,31,['high_quality'],high_quality,High_Dice (>75%)
20160222_165402_641_721,0.8852798889893968,0.7941723489556529,0.800410603587958,0.9902816112752274,8967,2236,88,219109,9055,11203,0.199589395697581,0.009718387631143015,1,1,9055.0,1678,0.1853119823302043,0.09265599116510215,1.0,1.9999465532121599,0.3958333333333333,0.6041666666666666,0.09375,0.511675,19,29,['high_quality'],high_quality,High_Dice (>75%)
