case_name,dice,iou,precision,recall,tp,fp,fn,tn,gt_area,pred_area,fp_area_ratio,fn_area_ratio,num_gt_cc,num_pred_cc,mean_component_size,perimeter,boundary_to_area_ratio,thinness_score,fragmentation_ratio,mean_routing_entropy,cnn_expert_fraction,vit_expert_fraction,expert_hhi_concentration,mean_gs,cnn_expert_selections,vit_expert_selections,error_taxonomy,primary_error_category,performance_tier
20160326_142521_641_1081,0.0,0.0,0.0,0.0,0,1011,2487,226902,2487,1011,1.0,1.0,2,3,1243.5,797,0.32046642541214315,0.16023321270607158,1.5,1.9999788972873438,0.3125,0.6875,0.09375,0.5114666666666667,15,33,"['missed_crack_high_fn', 'false_crack_high_fp', 'thin_low_area_failure']",missed_crack_high_fn,Low_Dice (<25%)
20160222_115224_641_1081,0.0,0.0,0.0,0.0,0,5564,1711,223125,1711,5564,1.0,1.0,1,10,1711.0,1669,0.9754529514903565,0.48772647574517825,10.0,1.999977246877554,0.2916666666666667,0.7083333333333334,0.08940972222222222,0.511725,14,34,"['missed_crack_high_fn', 'false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'fragmented_prediction']",missed_crack_high_fn,Low_Dice (<25%)
20160326_142521_641_1,0.0,0.0,0.0,0.0,0,762,1355,228283,1355,762,1.0,1.0,1,5,1355.0,291,0.21476014760147602,0.10738007380073801,5.0,1.9999757131851066,0.2708333333333333,0.7291666666666666,0.09548611111111112,0.5107916666666666,13,35,"['missed_crack_high_fn', 'false_crack_high_fp', 'thin_low_area_failure', 'fragmented_prediction']",missed_crack_high_fn,Low_Dice (<25%)
20160222_080850_1921_1,0.11995461167129631,0.06380410410087592,0.06569019079832207,0.6896551659864384,740,10525,333,218802,1073,11265,0.9343098091433644,0.3103448275862069,1,3,1073.0,330,0.30754892823858343,0.15377446411929171,3.0,1.9999619956402224,0.3125,0.6875,0.10069444444444445,0.5106666666666667,15,33,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160329_103807_1081_1,0.1679091637023636,0.09164892939570686,0.10607158367472601,0.40264026181165974,732,6169,1086,222413,1818,6901,0.8939284161715694,0.5973597359735974,1,7,1818.0,702,0.38613861386138615,0.19306930693069307,7.0,1.9999746221963848,0.3125,0.6875,0.09635416666666667,0.5108083333333333,15,33,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'fragmented_prediction']",false_crack_high_fp,Low_Dice (<25%)
20160326_141808_1281_1,0.27176308521228437,0.1572487445945256,0.19690618742823734,0.43844444347012346,1973,8047,2527,217853,4500,10020,0.8030938123752495,0.5615555555555556,4,13,1125.0,1265,0.2811111111111111,0.14055555555555554,3.25,1.9999724901431788,0.2708333333333333,0.7291666666666666,0.10590277777777779,0.5101000000000001,13,35,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'fragmented_prediction']",false_crack_high_fp,Low_Dice (<25%)
20160318_181632_641_721,0.2784546801211669,0.1617469356779787,0.16852517955301227,0.8008546940097889,937,4623,233,224607,1170,5560,0.8314748201438849,0.19914529914529913,1,3,1170.0,668,0.5709401709401709,0.28547008547008546,3.0,1.9999801167774358,0.2916666666666667,0.7083333333333334,0.09027777777777776,0.5117833333333334,14,34,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160326_141808_641_721,0.3030122866597183,0.17855891605913943,0.4870978002959611,0.21990507662892986,1529,1610,5424,221837,6953,3139,0.5129021981522778,0.7800949230547964,4,3,1738.25,1926,0.27700273263339564,0.13850136631669782,0.75,1.9999837851983961,0.375,0.625,0.09635416666666669,0.5121083333333334,18,30,"['missed_crack_high_fn', 'thin_low_area_failure']",missed_crack_high_fn,Low_Dice (<25%)
20160316_143547_1281_361,0.30981595044506754,0.18330308496678208,0.18346957278207163,0.9950738818219322,1010,4495,5,224890,1015,5505,0.8165304268846503,0.0049261083743842365,1,2,1015.0,210,0.20689655172413793,0.10344827586206896,2.0,1.9999761078272735,0.3125,0.6875,0.08854166666666667,0.5113083333333334,15,33,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160302_155857_1281_721,0.36322936820888024,0.2219183073998572,0.2219183073998572,0.9999999917830732,1217,4267,0,224916,1217,5484,0.7780816921954777,0.0,1,1,1217.0,430,0.3533278553820871,0.17666392769104355,1.0,1.9999824964112152,0.3333333333333333,0.6666666666666666,0.09722222222222222,0.5118166666666667,16,32,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
